     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0487    -1.6612     1.3509    -1.6027    -1.0162     0.7095     0.2820   -11.3456     2.1312     0.3092
    1.0507    -1.6593     1.3504    -1.6009    -1.0185     0.7080     0.2800   -12.5403     2.1358     0.3138
    1.0604    -1.6536     1.3529    -1.5978    -1.0243     0.7170     0.2739   -19.9189     2.1337     0.3165
    1.0573    -1.6540     1.3511    -1.6037    -1.0173     0.7124     0.2785   -15.0282     2.1290     0.3091
    1.0567    -1.6551     1.3556    -1.5961    -1.0205     0.7150     0.2788   -11.0900     2.1312     0.3147
    1.0547    -1.6576     1.3566    -1.5930    -1.0234     0.7125     0.2738   -13.1604     2.1372     0.3176
    1.0543    -1.6553     1.3526    -1.6011    -1.0151     0.7107     0.2807   -13.5448     2.1294     0.3113
    1.0552    -1.6569     1.3555    -1.5941    -1.0232     0.7131     0.2755   -11.7953     2.1362     0.3166
    1.0508    -1.6592     1.3566    -1.5960    -1.0163     0.7107     0.2825   -12.2163     2.1306     0.3132
    1.0514    -1.6579     1.3524    -1.6022    -1.0132     0.7099     0.2830   -15.2323     2.1287     0.3102
    1.0538    -1.6571     1.3529    -1.5997    -1.0191     0.7125     0.2791   -12.0252     2.1305     0.3126
    1.0568    -1.6545     1.3534    -1.5967    -1.0228     0.7095     0.2742   -11.8517     2.1387     0.3139
    1.0521    -1.6584     1.3481    -1.6051    -1.0164     0.7124     0.2809   -11.0643     2.1301     0.3127
    1.0647    -1.6447     1.3516    -1.6066    -1.0129     0.7141     0.2860   -14.4293     2.1182     0.3054
    1.0535    -1.6561     1.3517    -1.6031    -1.0134     0.7109     0.2810   -27.6269     2.1280     0.3111
    1.0528    -1.6584     1.3569    -1.5937    -1.0195     0.7107     0.2784   -15.0497     2.1362     0.3158
    1.0548    -1.6566     1.3530    -1.5995    -1.0183     0.7139     0.2788   -11.8972     2.1303     0.3140
    1.0541    -1.6547     1.3507    -1.6043    -1.0123     0.7109     0.2842   -11.7621     2.1268     0.3107
    1.0450    -1.6616     1.3587    -1.5917    -1.0114     0.7044     0.2839   -15.2175     2.1370     0.3179
    1.0597    -1.6499     1.3501    -1.6066    -1.0127     0.7129     0.2839   -21.0099     2.1232     0.3087
    1.0513    -1.6586     1.3578    -1.5930    -1.0176     0.7094     0.2795   -15.5065     2.1343     0.3154
    1.0577    -1.6544     1.3536    -1.5955    -1.0230     0.7130     0.2727   -15.0997     2.1380     0.3187
    1.0557    -1.6555     1.3513    -1.6007    -1.0179     0.7135     0.2774   -11.8748     2.1319     0.3160
    1.0535    -1.6542     1.3504    -1.6072    -1.0104     0.7098     0.2867   -13.0000     2.1220     0.3058
    1.0489    -1.6635     1.3532    -1.5987    -1.0191     0.7140     0.2781   -18.1281     2.1331     0.3141
    1.0537    -1.6555     1.3549    -1.5980    -1.0152     0.7115     0.2812   -13.6557     2.1297     0.3140
    1.0660    -1.6469     1.3545    -1.5995    -1.0205     0.7187     0.2780   -21.0424     2.1263     0.3123
    1.0521    -1.6581     1.3560    -1.5928    -1.0203     0.7077     0.2764   -10.8302     2.1412     0.3172
    1.0529    -1.6576     1.3531    -1.5988    -1.0171     0.7108     0.2782   -11.8097     2.1343     0.3150
    1.0499    -1.6598     1.3452    -1.6114    -1.0148     0.7104     0.2829   -12.7832     2.1234     0.3068
    1.0571    -1.6571     1.3563    -1.5920    -1.0302     0.7148     0.2700   -20.2368     2.1396     0.3169
    1.0499    -1.6585     1.3497    -1.6021    -1.0154     0.7081     0.2811   -20.0676     2.1328     0.3148
    1.0537    -1.6548     1.3536    -1.6035    -1.0115     0.7115     0.2868   -14.1341     2.1218     0.3069
    1.0537    -1.6548     1.3495    -1.6068    -1.0123     0.7104     0.2856   -13.9949     2.1240     0.3065
