     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0496    -1.6600     1.3535    -1.6032    -1.0125     0.7101     0.2866   -11.6943     2.1244     0.3058
    1.0553    -1.6566     1.3555    -1.5929    -1.0226     0.7114     0.2725   -15.4008     2.1413     0.3192
    1.0559    -1.6557     1.3556    -1.5986    -1.0181     0.7141     0.2806   -18.3424     2.1275     0.3108
    1.0617    -1.6504     1.3488    -1.6102    -1.0162     0.7162     0.2837   -18.7698     2.1187     0.3019
    1.0572    -1.6539     1.3555    -1.5963    -1.0190     0.7134     0.2790   -12.0273     2.1321     0.3142
    1.0600    -1.6534     1.3513    -1.6019    -1.0214     0.7168     0.2765   -12.2676     2.1300     0.3125
    1.0510    -1.6590     1.3556    -1.5932    -1.0181     0.7069     0.2766   -11.8638     2.1423     0.3180
    1.0606    -1.6487     1.3499    -1.6107    -1.0108     0.7122     0.2897   -11.8167     2.1149     0.3012
    1.0519    -1.6581     1.3505    -1.6024    -1.0177     0.7107     0.2790   -18.5117     2.1296     0.3136
    1.0549    -1.6600     1.3611    -1.5847    -1.0332     0.7109     0.2704   -15.8003     2.1468     0.3171
    1.0529    -1.6580     1.3499    -1.6053    -1.0178     0.7129     0.2809   -11.6786     2.1256     0.3076
    1.0507    -1.6592     1.3538    -1.5965    -1.0173     0.7097     0.2761   -15.3598     2.1365     0.3186
    1.0519    -1.6592     1.3582    -1.5919    -1.0204     0.7115     0.2782   -15.0745     2.1358     0.3155
    1.0515    -1.6575     1.3482    -1.6063    -1.0139     0.7097     0.2826   -16.9789     2.1281     0.3104
    1.0615    -1.6491     1.3496    -1.6083    -1.0149     0.7151     0.2844   -14.6681     2.1199     0.3052
    1.0617    -1.6472     1.3517    -1.6069    -1.0107     0.7121     0.2867   -13.4696     2.1198     0.3048
    1.0547    -1.6543     1.3474    -1.6088    -1.0116     0.7112     0.2831   -13.9636     2.1253     0.3101
    1.0563    -1.6557     1.3526    -1.5990    -1.0206     0.7146     0.2768   -12.6650     2.1327     0.3148
    1.0592    -1.6566     1.3543    -1.5976    -1.0232     0.7191     0.2761   -14.4660     2.1313     0.3158
    1.0589    -1.6539     1.3490    -1.6039    -1.0216     0.7157     0.2777   -11.5172     2.1296     0.3122
    1.0504    -1.6590     1.3516    -1.5979    -1.0205     0.7066     0.2780   -20.3421     2.1388     0.3159
    1.0564    -1.6544     1.3539    -1.5975    -1.0191     0.7115     0.2767   -13.0282     2.1348     0.3139
    1.0515    -1.6583     1.3472    -1.6108    -1.0132     0.7115     0.2850   -20.6065     2.1216     0.3042
    1.0572    -1.6548     1.3511    -1.6039    -1.0183     0.7143     0.2783   -14.6566     2.1282     0.3086
    1.0570    -1.6573     1.3494    -1.6047    -1.0214     0.7162     0.2763   -17.5635     2.1316     0.3072
    1.0529    -1.6575     1.3537    -1.5962    -1.0188     0.7082     0.2763   -11.1751     2.1397     0.3160
    1.0591    -1.6535     1.3513    -1.6028    -1.0204     0.7159     0.2778   -15.6025     2.1283     0.3101
    1.0500    -1.6571     1.3539    -1.6006    -1.0116     0.7070     0.2855   -21.0085     2.1283     0.3110
    1.0493    -1.6636     1.3544    -1.5974    -1.0212     0.7139     0.2784   -20.3655     2.1329     0.3136
    1.0474    -1.6600     1.3520    -1.6018    -1.0106     0.7070     0.2845   -17.9083     2.1307     0.3125
    1.0554    -1.6543     1.3510    -1.6046    -1.0154     0.7114     0.2857   -12.5955     2.1240     0.3066
    1.0545    -1.6551     1.3492    -1.6053    -1.0158     0.7110     0.2819   -20.2969     2.1277     0.3098
    1.0508    -1.6593     1.3495    -1.6045    -1.0144     0.7120     0.2801   -19.3509     2.1294     0.3128
    1.0519    -1.6559     1.3510    -1.6043    -1.0127     0.7095     0.2852   -11.7090     2.1250     0.3100
    1.0571    -1.6556     1.3555    -1.5931    -1.0243     0.7134     0.2729   -12.4227     2.1385     0.3193
    1.0569    -1.6518     1.3499    -1.6075    -1.0124     0.7115     0.2835   -16.3938     2.1228     0.3062
    1.0527    -1.6541     1.3499    -1.6069    -1.0094     0.7080     0.2872   -11.6685     2.1232     0.3075
    1.0689    -1.6404     1.3539    -1.6046    -1.0107     0.7138     0.2868   -13.8249     2.1194     0.3058
    1.0649    -1.6501     1.3499    -1.6057    -1.0204     0.7214     0.2765   -11.3504     2.1252     0.3091
    1.0517    -1.6587     1.3545    -1.5937    -1.0245     0.7076     0.2756   -11.9964     2.1406     0.3174
    1.0564    -1.6545     1.3545    -1.5992    -1.0161     0.7138     0.2807   -14.7765     2.1283     0.3132
    1.0544    -1.6565     1.3505    -1.6002    -1.0187     0.7099     0.2775   -17.7761     2.1369     0.3149
    1.0562    -1.6561     1.3553    -1.5954    -1.0205     0.7117     0.2756   -12.4627     2.1371     0.3154
    1.0554    -1.6557     1.3517    -1.5985    -1.0237     0.7102     0.2755   -13.3869     2.1359     0.3143
    1.0513    -1.6565     1.3502    -1.6033    -1.0136     0.7080     0.2822   -11.8642     2.1300     0.3119
    1.0521    -1.6594     1.3538    -1.5954    -1.0233     0.7104     0.2757   -20.4729     2.1381     0.3163
    1.0526    -1.6554     1.3469    -1.6103    -1.0111     0.7086     0.2862   -11.5110     2.1229     0.3061
    1.0531    -1.6555     1.3536    -1.6003    -1.0177     0.7078     0.2816   -14.8103     2.1311     0.3064
    1.0556    -1.6558     1.3552    -1.5938    -1.0217     0.7126     0.2746   -12.3165     2.1370     0.3200
    1.0522    -1.6599     1.3551    -1.5941    -1.0217     0.7115     0.2738   -12.5509     2.1390     0.3183
    1.0593    -1.6532     1.3552    -1.5982    -1.0199     0.7167     0.2779   -11.8086     2.1284     0.3127
    1.0641    -1.6487     1.3530    -1.6043    -1.0176     0.7181     0.2804   -14.9977     2.1232     0.3052
    1.0499    -1.6573     1.3492    -1.6066    -1.0110     0.7080     0.2849   -29.0837     2.1251     0.3089
    1.0531    -1.6615     1.3522    -1.6040    -1.0192     0.7168     0.2811   -19.9988     2.1254     0.3067
    1.0508    -1.6572     1.3524    -1.6029    -1.0134     0.7073     0.2850   -11.5843     2.1270     0.3059
    1.0544    -1.6541     1.3533    -1.6018    -1.0132     0.7110     0.2833   -11.8343     2.1259     0.3104
    1.0526    -1.6567     1.3469    -1.6100    -1.0113     0.7110     0.2857   -12.5982     2.1246     0.3076
    1.0578    -1.6556     1.3505    -1.6001    -1.0267     0.7157     0.2746   -15.4089     2.1343     0.3134
    1.0583    -1.6500     1.3493    -1.6109    -1.0084     0.7117     0.2888   -19.3549     2.1180     0.3026
    1.0594    -1.6541     1.3554    -1.5975    -1.0207     0.7184     0.2771   -14.5855     2.1286     0.3149
    1.0544    -1.6562     1.3493    -1.6023    -1.0194     0.7106     0.2779   -12.7212     2.1341     0.3133
    1.0559    -1.6535     1.3516    -1.6020    -1.0156     0.7118     0.2815   -17.4664     2.1292     0.3123
    1.0508    -1.6587     1.3514    -1.6017    -1.0147     0.7108     0.2812   -14.1128     2.1304     0.3138
    1.0550    -1.6577     1.3533    -1.5986    -1.0224     0.7136     0.2764   -11.1665     2.1341     0.3116
    1.0600    -1.6540     1.3498    -1.6012    -1.0221     0.7170     0.2734   -13.2403     2.1346     0.3180
    1.0569    -1.6523     1.3515    -1.6069    -1.0126     0.7123     0.2853   -12.3784     2.1211     0.3032
    1.0565    -1.6565     1.3530    -1.5991    -1.0209     0.7155     0.2759   -15.9186     2.1320     0.3141
    1.0490    -1.6603     1.3495    -1.6048    -1.0123     0.7099     0.2826   -15.4938     2.1291     0.3125
    1.0487    -1.6616     1.3502    -1.6006    -1.0191     0.7086     0.2785   -17.2454     2.1364     0.3146
    1.0510    -1.6607     1.3576    -1.5948    -1.0195     0.7127     0.2798   -12.1936     2.1311     0.3122
    1.0539    -1.6545     1.3497    -1.6077    -1.0115     0.7100     0.2853   -14.0931     2.1233     0.3060
    1.0569    -1.6547     1.3562    -1.5950    -1.0177     0.7135     0.2760   -11.6290     2.1347     0.3173
    1.0573    -1.6517     1.3498    -1.6090    -1.0109     0.7126     0.2875   -12.2317     2.1188     0.3042
    1.0550    -1.6567     1.3495    -1.5998    -1.0231     0.7114     0.2739   -11.2019     2.1378     0.3173
    1.0713    -1.6404     1.3510    -1.6095    -1.0142     0.7177     0.2851   -20.7371     2.1163     0.3015
    1.0515    -1.6581     1.3425    -1.6147    -1.0137     0.7111     0.2848   -17.8083     2.1218     0.3063
    1.0520    -1.6585     1.3560    -1.5936    -1.0204     0.7080     0.2757   -20.0953     2.1387     0.3164
    1.0509    -1.6574     1.3503    -1.6055    -1.0116     0.7091     0.2857   -11.0515     2.1259     0.3080
    1.0697    -1.6414     1.3512    -1.6070    -1.0148     0.7157     0.2837   -15.2968     2.1196     0.3058
    1.0567    -1.6539     1.3491    -1.6078    -1.0161     0.7136     0.2814   -13.5901     2.1230     0.3057
    1.0496    -1.6622     1.3521    -1.5991    -1.0215     0.7133     0.2776   -14.6230     2.1328     0.3142
    1.0577    -1.6543     1.3556    -1.5945    -1.0225     0.7119     0.2761   -11.5649     2.1366     0.3148
    1.0508    -1.6603     1.3558    -1.5944    -1.0190     0.7124     0.2764   -12.1046     2.1366     0.3177
    1.0560    -1.6562     1.3538    -1.5960    -1.0200     0.7124     0.2745   -12.8131     2.1384     0.3179
    1.0547    -1.6549     1.3492    -1.6089    -1.0132     0.7136     0.2852   -11.7836     2.1190     0.3058
    1.0527    -1.6583     1.3502    -1.5984    -1.0194     0.7109     0.2761   -14.9842     2.1394     0.3213
    1.0646    -1.6437     1.3510    -1.6077    -1.0099     0.7127     0.2883   -12.3506     2.1189     0.3049
    1.0540    -1.6571     1.3479    -1.6073    -1.0150     0.7137     0.2817   -19.5487     2.1263     0.3107
    1.0530    -1.6576     1.3475    -1.6062    -1.0185     0.7124     0.2789   -17.8633     2.1286     0.3106
    1.0520    -1.6571     1.3540    -1.5975    -1.0151     0.7084     0.2800   -13.1439     2.1347     0.3152
    1.0496    -1.6610     1.3523    -1.5993    -1.0187     0.7091     0.2790   -11.7174     2.1349     0.3134
    1.0498    -1.6596     1.3498    -1.5993    -1.0179     0.7073     0.2758   -20.3871     2.1398     0.3196
    1.0635    -1.6500     1.3545    -1.5986    -1.0218     0.7186     0.2764   -20.7754     2.1294     0.3125
    1.0613    -1.6493     1.3502    -1.6069    -1.0153     0.7142     0.2834   -17.9999     2.1216     0.3057
    1.0544    -1.6559     1.3508    -1.6019    -1.0169     0.7115     0.2795   -16.8264     2.1314     0.3138
    1.0546    -1.6571     1.3525    -1.6019    -1.0187     0.7139     0.2807   -17.2184     2.1270     0.3097
    1.0658    -1.6490     1.3545    -1.5972    -1.0258     0.7197     0.2733   -11.3288     2.1311     0.3144
    1.0525    -1.6566     1.3481    -1.6076    -1.0131     0.7099     0.2839   -12.0155     2.1260     0.3084
    1.0637    -1.6477     1.3512    -1.6065    -1.0146     0.7166     0.2843   -11.0443     2.1198     0.3069
    1.0545    -1.6561     1.3476    -1.6083    -1.0158     0.7128     0.2832   -12.0722     2.1245     0.3079
    1.0569    -1.6542     1.3541    -1.5964    -1.0210     0.7094     0.2739   -12.2097     2.1384     0.3144
    1.0502    -1.6616     1.3521    -1.6018    -1.0179     0.7132     0.2814   -17.6631     2.1286     0.3113
    1.0607    -1.6503     1.3468    -1.6132    -1.0133     0.7153     0.2856   -16.5253     2.1176     0.3022
    1.0528    -1.6598     1.3467    -1.6053    -1.0199     0.7128     0.2773   -13.5779     2.1337     0.3141
    1.0513    -1.6618     1.3565    -1.5922    -1.0220     0.7102     0.2748   -14.7075     2.1419     0.3179
    1.0580    -1.6544     1.3534    -1.5957    -1.0263     0.7112     0.2735   -16.2446     2.1394     0.3146
    1.0541    -1.6561     1.3578    -1.5928    -1.0194     0.7114     0.2778   -12.9055     2.1344     0.3169
    1.0517    -1.6610     1.3571    -1.5930    -1.0240     0.7117     0.2758   -15.0407     2.1360     0.3145
    1.0577    -1.6543     1.3508    -1.6054    -1.0204     0.7160     0.2782   -19.4943     2.1260     0.3041
    1.0644    -1.6469     1.3446    -1.6122    -1.0150     0.7155     0.2839   -12.2197     2.1219     0.3081
    1.0538    -1.6569     1.3530    -1.5975    -1.0202     0.7111     0.2754   -14.5947     2.1349     0.3173
    1.0576    -1.6554     1.3559    -1.5960    -1.0223     0.7157     0.2778   -11.9508     2.1305     0.3130
    1.0551    -1.6575     1.3555    -1.5949    -1.0259     0.7128     0.2770   -17.6172     2.1344     0.3124
    1.0694    -1.6407     1.3532    -1.6046    -1.0139     0.7145     0.2853   -12.3334     2.1199     0.3054
    1.0566    -1.6552     1.3518    -1.6022    -1.0178     0.7137     0.2791   -16.0372     2.1302     0.3098
    1.0745    -1.6364     1.3532    -1.6056    -1.0135     0.7164     0.2858   -12.1760     2.1186     0.3056
    1.0552    -1.6559     1.3506    -1.6042    -1.0170     0.7146     0.2801   -15.3401     2.1267     0.3099
    1.0499    -1.6579     1.3550    -1.5964    -1.0147     0.7062     0.2810   -16.6092     2.1356     0.3142
    1.0522    -1.6583     1.3521    -1.6015    -1.0157     0.7109     0.2817   -15.0003     2.1303     0.3115
    1.0559    -1.6554     1.3528    -1.5995    -1.0178     0.7130     0.2780   -11.0521     2.1322     0.3144
    1.0536    -1.6566     1.3536    -1.5999    -1.0169     0.7119     0.2798   -14.6193     2.1297     0.3111
    1.0530    -1.6561     1.3537    -1.5986    -1.0152     0.7100     0.2803   -13.2778     2.1328     0.3141
    1.0649    -1.6468     1.3532    -1.6024    -1.0177     0.7160     0.2800   -16.6946     2.1253     0.3083
    1.0605    -1.6514     1.3566    -1.5930    -1.0190     0.7142     0.2741   -19.6039     2.1369     0.3208
    1.0543    -1.6547     1.3536    -1.5998    -1.0153     0.7108     0.2827   -19.4361     2.1290     0.3127
    1.0541    -1.6539     1.3471    -1.6107    -1.0092     0.7101     0.2867   -12.5390     2.1220     0.3074
    1.0511    -1.6599     1.3528    -1.5995    -1.0188     0.7124     0.2783   -14.3924     2.1314     0.3141
    1.0506    -1.6597     1.3517    -1.6003    -1.0192     0.7096     0.2791   -18.7767     2.1335     0.3125
    1.0491    -1.6610     1.3485    -1.6042    -1.0169     0.7099     0.2807   -11.7512     2.1315     0.3126
    1.0541    -1.6567     1.3507    -1.6018    -1.0185     0.7103     0.2780   -11.8711     2.1331     0.3115
    1.0556    -1.6558     1.3514    -1.6015    -1.0176     0.7120     0.2770   -11.9169     2.1316     0.3140
    1.0518    -1.6584     1.3665    -1.5815    -1.0205     0.7084     0.2763   -11.8326     2.1413     0.3203
    1.0487    -1.6617     1.3506    -1.6032    -1.0167     0.7106     0.2815   -13.9153     2.1286     0.3108
    1.0558    -1.6569     1.3546    -1.5983    -1.0197     0.7144     0.2770   -11.8780     2.1315     0.3125
    1.0485    -1.6603     1.3525    -1.6027    -1.0117     0.7104     0.2843   -11.4230     2.1264     0.3103
    1.0543    -1.6580     1.3548    -1.5961    -1.0207     0.7094     0.2752   -16.9470     2.1393     0.3128
    1.0504    -1.6603     1.3494    -1.6020    -1.0192     0.7079     0.2772   -15.2443     2.1359     0.3138
    1.0551    -1.6562     1.3502    -1.6053    -1.0164     0.7139     0.2804   -16.1904     2.1260     0.3088
    1.0517    -1.6603     1.3549    -1.5949    -1.0219     0.7105     0.2761   -11.3648     2.1383     0.3160
    1.0556    -1.6573     1.3579    -1.5933    -1.0239     0.7151     0.2749   -13.8324     2.1340     0.3130
    1.0607    -1.6507     1.3483    -1.6078    -1.0163     0.7149     0.2813   -16.4937     2.1248     0.3079
    1.0536    -1.6564     1.3486    -1.6073    -1.0166     0.7116     0.2840   -20.4559     2.1249     0.3053
    1.0497    -1.6611     1.3583    -1.5921    -1.0188     0.7110     0.2775   -17.5122     2.1364     0.3164
    1.0583    -1.6531     1.3512    -1.6011    -1.0205     0.7134     0.2776   -12.3335     2.1310     0.3140
    1.0582    -1.6543     1.3546    -1.5957    -1.0216     0.7149     0.2761   -24.8752     2.1340     0.3170
    1.0554    -1.6581     1.3505    -1.6021    -1.0229     0.7146     0.2770   -13.8578     2.1318     0.3109
    1.0591    -1.6549     1.3506    -1.6035    -1.0205     0.7152     0.2788   -13.6328     2.1298     0.3100
    1.0537    -1.6562     1.3531    -1.5998    -1.0162     0.7107     0.2796   -13.5373     2.1311     0.3128
    1.0550    -1.6534     1.3482    -1.6075    -1.0131     0.7100     0.2840   -14.7474     2.1254     0.3086
    1.0512    -1.6616     1.3460    -1.6050    -1.0241     0.7111     0.2781   -19.2076     2.1351     0.3123
    1.0561    -1.6554     1.3528    -1.5992    -1.0197     0.7119     0.2783   -16.9376     2.1330     0.3131
    1.0604    -1.6492     1.3483    -1.6112    -1.0117     0.7128     0.2862   -14.8291     2.1184     0.3028
    1.0510    -1.6591     1.3475    -1.6050    -1.0163     0.7095     0.2794   -11.3919     2.1331     0.3134
    1.0602    -1.6525     1.3512    -1.6033    -1.0199     0.7149     0.2775   -14.7285     2.1285     0.3089
    1.0529    -1.6587     1.3519    -1.5994    -1.0202     0.7131     0.2770   -21.1793     2.1342     0.3148
    1.0498    -1.6603     1.3555    -1.5946    -1.0206     0.7083     0.2784   -11.6817     2.1364     0.3148
    1.0533    -1.6578     1.3565    -1.5929    -1.0230     0.7105     0.2753   -11.4089     2.1384     0.3155
    1.0515    -1.6587     1.3509    -1.6028    -1.0168     0.7100     0.2822   -14.8785     2.1311     0.3088
    1.0561    -1.6561     1.3520    -1.5985    -1.0247     0.7116     0.2762   -11.5787     2.1358     0.3126
    1.0566    -1.6547     1.3484    -1.6067    -1.0166     0.7140     0.2810   -19.5144     2.1260     0.3098
    1.0607    -1.6505     1.3497    -1.6112    -1.0124     0.7130     0.2894   -12.5747     2.1169     0.2994
    1.0632    -1.6488     1.3523    -1.6038    -1.0156     0.7182     0.2813   -18.5238     2.1233     0.3098
    1.0549    -1.6569     1.3475    -1.6042    -1.0214     0.7126     0.2760   -12.9382     2.1336     0.3128
    1.0621    -1.6476     1.3468    -1.6112    -1.0129     0.7138     0.2855   -11.0987     2.1206     0.3054
    1.0512    -1.6589     1.3499    -1.5985    -1.0193     0.7086     0.2764   -11.7743     2.1407     0.3212
    1.0536    -1.6546     1.3530    -1.6024    -1.0117     0.7103     0.2854   -12.2802     2.1252     0.3098
    1.0529    -1.6556     1.3545    -1.6001    -1.0128     0.7106     0.2852   -13.2791     2.1265     0.3115
    1.0554    -1.6571     1.3515    -1.6018    -1.0221     0.7152     0.2783   -11.8353     2.1288     0.3105
