     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0470    -1.6768     1.9727    -1.5888    -1.0311     0.7322     0.2547   -14.3920     2.1455     0.3469
    1.0484    -1.6667     1.9708    -1.5932    -1.0098     0.7147     0.2640   -16.9239     2.1476     0.3447
    1.0515    -1.6580     1.9665    -1.6031    -0.9983     0.7104     0.2703   -11.8480     2.1379     0.3355
    1.0569    -1.6636     1.9707    -1.6013    -1.0087     0.7283     0.2695   -14.5656     2.1298     0.3327
    1.0490    -1.6648     1.9760    -1.5824    -1.0141     0.7119     0.2584   -16.9638     2.1587     0.3559
    1.0634    -1.6548     1.9681    -1.6007    -1.0123     0.7248     0.2640   -19.8491     2.1368     0.3348
    1.0756    -1.6493     1.9596    -1.6206    -1.0066     0.7415     0.2717   -16.8806     2.1137     0.3244
    1.0499    -1.6611     1.9678    -1.5984    -1.0054     0.7129     0.2663   -17.6621     2.1428     0.3394
    1.0544    -1.6604     1.9695    -1.5988    -1.0076     0.7186     0.2687   -14.4304     2.1377     0.3362
    1.2324    -1.6280     2.0072    -1.5114   -27.3113     0.8954     0.0591   -11.6928     2.2006     0.3840
    1.2225    -1.6318     2.0055    -1.5139   -11.8792     0.8812     0.0730   -16.9902     2.1907     0.3759
    0.2690   -15.4562     1.9839    -1.5402    -5.1220     0.9723     0.4771    -1.3947     0.9209    -0.1344
    1.0523    -1.6670     1.9747    -1.5919    -1.0236     0.7239     0.2655   -16.9188     2.1351     0.3356
    1.0849    -1.6399     1.9675    -1.6188    -1.0099     0.7453     0.2796   -16.8013     2.0976     0.3128
    1.0414    -1.6744     1.9714    -1.5933    -1.0091     0.7183     0.2656   -16.8274     2.1448     0.3443
    1.0859    -1.6401     1.9652    -1.6163    -1.0207     0.7418     0.2769   -16.9557     2.1039     0.3149
    1.0600    -1.6560     1.9653    -1.6049    -1.0140     0.7220     0.2678   -18.1084     2.1314     0.3298
    1.0435    -1.6640     1.9629    -1.6051    -0.9929     0.7074     0.2744   -10.8333     2.1425     0.3400
    1.0667    -1.6538     1.9670    -1.6068    -1.0119     0.7313     0.2726   -19.4582     2.1235     0.3285
    1.0548    -1.6642     1.9718    -1.5852    -1.0282     0.7221     0.2491   -15.6941     2.1573     0.3573
    1.0539    -1.6591     1.9643    -1.6096    -0.9946     0.7191     0.2756   -15.7248     2.1295     0.3313
    1.0404    -1.6734     1.9736    -1.5914    -1.0101     0.7111     0.2670   -13.4737     2.1449     0.3406
    1.0530    -1.6587     1.9695    -1.5931    -1.0101     0.7104     0.2634   -16.9506     2.1510     0.3443
    1.0577    -1.6552     1.9686    -1.6033    -1.0063     0.7183     0.2719   -16.9565     2.1291     0.3298
    1.0712    -1.6533     1.9654    -1.6124    -1.0123     0.7385     0.2714   -16.9143     2.1162     0.3240
    1.0565    -1.6611     1.9711    -1.5989    -1.0078     0.7256     0.2682   -16.9278     2.1333     0.3361
    1.2658    -1.6370     2.0051    -1.5138   -11.0194     0.9599     0.0565   -16.8745     2.1887     0.3808
    1.0643    -1.6621     1.9660    -1.6112    -1.0130     0.7362     0.2742   -14.1827     2.1192     0.3243
    1.0528    -1.6606     1.9649    -1.6081    -0.9988     0.7181     0.2733   -16.9782     2.1309     0.3305
    1.0670    -1.6554     1.9660    -1.6100    -1.0071     0.7342     0.2706   -16.9397     2.1228     0.3284
    1.0607    -1.6613     1.9600    -1.6287    -1.0060     0.7392     0.2831   -11.6616     2.0942     0.3085
    1.0560    -1.6578     1.9638    -1.6058    -1.0055     0.7194     0.2694   -16.0949     2.1341     0.3360
    1.0673    -1.6543     1.9648    -1.6083    -1.0108     0.7332     0.2693   -11.8003     2.1258     0.3319
    1.0525    -1.6667     1.9696    -1.6001    -1.0109     0.7254     0.2701   -11.9387     2.1330     0.3355
    1.0598    -1.6620     1.9862    -1.5658    -1.0417     0.7208     0.2400   -15.6941     2.1679     0.3642
    1.4630    -1.6544     2.0174    -1.5028   -14.9822     1.3960    -0.0662    -1.3919     2.2021     0.4771
    1.0531    -1.6663     1.9770    -1.5831    -1.0231     0.7220     0.2550   -16.8884     2.1520     0.3507
    1.1416    -1.6656     2.0093    -1.5088   -17.6327     0.7978     0.1285   -15.4418     2.1768     0.3469
    1.0635    -1.6612     1.9652    -1.6127    -1.0131     0.7370     0.2712   -13.1511     2.1171     0.3226
    1.0348    -1.6751     1.9680    -1.5971    -1.0149     0.7038     0.2667   -16.9669     2.1418     0.3370
    1.0469    -1.6686     1.9459    -1.6235    -1.0065     0.7211     0.2695   -12.9014     2.1350     0.3374
    1.0504    -1.6618     1.9799    -1.5809    -1.0137     0.7116     0.2616   -16.4218     2.1518     0.3487
    1.0593    -1.6581     1.9697    -1.5981    -1.0120     0.7244     0.2640   -13.3812     2.1373     0.3385
    1.0577    -1.6585     1.9717    -1.5957    -1.0091     0.7212     0.2655   -16.9599     2.1387     0.3395
    1.0389    -1.6658     1.9644    -1.6020    -0.9923     0.6998     0.2761   -16.9562     2.1469     0.3408
    1.0464    -1.6713     1.9794    -1.5812    -1.0222     0.7195     0.2593   -16.9559     2.1499     0.3484
    1.0589    -1.6665     1.9837    -1.5695    -1.0478     0.7275     0.2406   -11.6766     2.1630     0.3588
    1.0502    -1.6641     1.9670    -1.6048    -1.0088     0.7173     0.2707   -14.2174     2.1295     0.3292
    1.0564    -1.6576     1.9626    -1.6115    -0.9989     0.7204     0.2736   -16.9104     2.1281     0.3303
    1.2089    -1.6348     2.0133    -1.5049   -12.0530     0.8626     0.0713   -16.8191     2.2022     0.3852
    1.0700    -1.6535     1.9691    -1.6054    -1.0158     0.7374     0.2672   -13.1252     2.1225     0.3269
    1.0428    -1.6724     1.9733    -1.5902    -1.0131     0.7150     0.2660   -11.7818     2.1464     0.3444
    1.0549    -1.6654     1.9755    -1.5879    -1.0214     0.7250     0.2583   -11.4517     2.1446     0.3448
    1.0624    -1.6596     1.9725    -1.5963    -1.0184     0.7297     0.2645   -13.5259     2.1331     0.3349
    1.0551    -1.6598     1.9698    -1.5948    -1.0083     0.7194     0.2617   -16.9301     2.1456     0.3454
    1.0507    -1.6607     1.9706    -1.5943    -1.0019     0.7127     0.2640   -17.5390     2.1477     0.3449
    1.0644    -1.6574     1.9677    -1.6073    -1.0112     0.7320     0.2720   -17.2464     2.1223     0.3268
    1.0653    -1.6539     1.9718    -1.5936    -1.0184     0.7262     0.2605   -15.0860     2.1416     0.3413
    1.2193    -1.6216     2.0041    -1.5155   -10.6780     0.8636     0.0676   -10.9020     2.2026     0.3830
    1.0892    -1.6367     1.9659    -1.6197    -1.0115     0.7421     0.2817   -16.9462     2.0995     0.3123
    1.0520    -1.6642     1.9687    -1.5962    -1.0154     0.7174     0.2616   -13.2944     2.1454     0.3392
    1.0488    -1.6693     1.9715    -1.5946    -1.0152     0.7220     0.2637   -11.4557     2.1410     0.3392
    1.0537    -1.6585     1.9741    -1.5896    -1.0105     0.7125     0.2635   -14.5547     2.1474     0.3433
    1.0498    -1.6677     1.9615    -1.6099    -1.0060     0.7247     0.2707   -16.9544     2.1309     0.3341
    1.2710    -1.6394     2.0152    -1.5039   -47.8116     0.9982     0.0045   -26.6155     2.2223     0.4287
    1.0577    -1.6580     1.9650    -1.6060    -1.0055     0.7229     0.2687   -16.9415     2.1320     0.3339
    1.0514    -1.6569     1.9697    -1.5954    -1.0054     0.7070     0.2672   -16.9626     2.1453     0.3402
    1.0733    -1.6475     1.9721    -1.5994    -1.0189     0.7323     0.2697   -16.9193     2.1250     0.3305
    1.0494    -1.6712     1.9803    -1.5787    -1.0327     0.7233     0.2549   -11.9512     2.1504     0.3484
    1.0470    -1.6597     1.9674    -1.6045    -0.9907     0.7083     0.2780   -16.8932     2.1338     0.3330
    1.0525    -1.6607     1.9722    -1.5947    -1.0045     0.7169     0.2674   -11.3397     2.1412     0.3405
    1.0560    -1.6570     1.9623    -1.6081    -0.9973     0.7162     0.2669   -11.5671     2.1391     0.3361
    1.0562    -1.6582     1.9708    -1.5986    -1.0037     0.7193     0.2696   -12.0707     2.1365     0.3368
    1.0578    -1.6617     1.9608    -1.6120    -1.0025     0.7286     0.2671   -16.7553     2.1316     0.3342
    1.2617    -1.6517     2.0099    -1.5102   -12.7607     0.9949     0.0263   -16.9551     2.2030     0.3968
    1.0729    -1.6540     1.9624    -1.6249    -1.0142     0.7389     0.2818   -16.9932     2.1008     0.3031
    1.0652    -1.6575     1.9620    -1.6323    -0.9941     0.7407     0.2858   -16.8539     2.0904     0.3065
    1.0489    -1.6577     1.9638    -1.6048    -0.9960     0.7078     0.2722   -16.9345     2.1406     0.3369
    1.0712    -1.6547     1.9682    -1.6076    -1.0199     0.7395     0.2698   -17.3475     2.1180     0.3246
    1.0501    -1.6635     1.9767    -1.5877    -1.0071     0.7152     0.2653   -16.9362     2.1457     0.3438
    3.0192   -24.5390     1.9819    -1.5511    -7.3406     2.0069     0.4771   -24.6127     0.7721    -0.1997
    1.0444    -1.6662     1.9668    -1.6024    -0.9951     0.7125     0.2718   -12.7919     2.1385     0.3393
    1.0610    -1.6495     1.9591    -1.6389    -0.9667     0.7249     0.2993   -11.9368     2.0903     0.3086
    1.0766    -1.6507     1.9678    -1.6048    -1.0238     0.7418     0.2626   -16.9443     2.1244     0.3295
    1.0783    -1.6492     1.9741    -1.5941    -1.0288     0.7397     0.2605   -12.4082     2.1320     0.3368
    1.0507    -1.6616     1.9695    -1.5958    -0.9950     0.7142     0.2638   -14.7004     2.1489     0.3477
    1.0451    -1.6662     1.9713    -1.5953    -1.0078     0.7094     0.2688   -18.5502     2.1423     0.3368
    1.0565    -1.6565     1.9792    -1.5778    -1.0228     0.7113     0.2549   -13.9702     2.1594     0.3534
    1.0498    -1.6647     1.9747    -1.5905    -1.0099     0.7165     0.2652   -14.3259     2.1438     0.3406
    1.0649    -1.6559     1.9634    -1.6128    -1.0108     0.7310     0.2727   -13.1804     2.1199     0.3239
    1.0602    -1.6564     1.9641    -1.6058    -1.0071     0.7230     0.2675   -13.2230     2.1355     0.3355
    1.0543    -1.6553     1.9695    -1.5995    -0.9971     0.7119     0.2688   -16.9738     2.1396     0.3379
    1.0491    -1.6660     1.9740    -1.5902    -1.0136     0.7171     0.2636   -16.9582     2.1447     0.3434
    1.0549    -1.6710     1.9827    -1.5716    -1.0458     0.7293     0.2424   -15.1258     2.1603     0.3586
    1.0628    -1.6568     1.9625    -1.6216    -1.0035     0.7321     0.2801   -18.1733     2.1061     0.3133
    1.0658    -1.6584     1.9742    -1.5928    -1.0283     0.7334     0.2617   -16.9435     2.1339     0.3363
    1.0478    -1.6641     1.9697    -1.5943    -1.0046     0.7106     0.2650   -11.1331     2.1484     0.3454
    1.0586    -1.6626     1.9735    -1.5889    -1.0242     0.7281     0.2571   -13.1727     2.1456     0.3468
    1.0457    -1.6677     1.9627    -1.6050    -1.0145     0.7118     0.2676   -16.5091     2.1367     0.3337
    1.2142    -1.6710     1.9995    -1.5204   -10.3734     0.9370     0.0426   -11.7297     2.2039     0.3898
    1.0582    -1.6603     1.9687    -1.5981    -1.0195     0.7255     0.2632   -11.4353     2.1369     0.3361
    1.0538    -1.6582     1.9629    -1.6078    -0.9989     0.7159     0.2724   -19.1729     2.1350     0.3355
    1.1951    -1.6611     2.0032    -1.5168   -12.3922     0.8843     0.0859   -16.9800     2.1785     0.3537
    1.0391    -1.6775     1.9773    -1.5848    -1.0199     0.7190     0.2652   -16.6833     2.1450     0.3452
    1.2453    -1.6167     2.0006    -1.5200   -13.0499     0.9048     0.0411   -12.6157     2.2133     0.3933
    1.0713    -1.6582     1.9731    -1.5926    -1.0350     0.7403     0.2581   -17.3751     2.1352     0.3394
    1.1877    -1.6637     2.0150    -1.5037   -13.6516     0.8757     0.0756   -12.2122     2.1937     0.3736
    1.0565    -1.6605     1.9692    -1.6001    -1.0110     0.7233     0.2666   -13.1611     2.1347     0.3343
    1.0622    -1.6577     1.9691    -1.5982    -1.0183     0.7297     0.2617   -16.9211     2.1363     0.3379
    1.0778    -1.6476     1.9717    -1.6027    -1.0193     0.7393     0.2708   -16.9586     2.1194     0.3277
    1.0699    -1.6532     1.9598    -1.6298    -1.0024     0.7399     0.2827   -12.1929     2.0960     0.3086
    1.0520    -1.6617     1.9616    -1.6074    -0.9989     0.7167     0.2682   -16.6431     2.1405     0.3390
    1.0551    -1.6583     1.9668    -1.6015    -1.0019     0.7171     0.2661   -16.9441     2.1407     0.3394
    1.0556    -1.6610     1.9600    -1.6137    -1.0041     0.7250     0.2714   -16.8607     2.1270     0.3299
    1.0632    -1.6618     1.9745    -1.5944    -1.0266     0.7343     0.2641   -16.7623     2.1311     0.3330
    1.0500    -1.6630     1.9619    -1.6092    -0.9947     0.7185     0.2715   -12.4823     2.1360     0.3373
    1.0618    -1.6615     1.9695    -1.5995    -1.0219     0.7343     0.2642   -16.6346     2.1313     0.3341
    1.0771    -1.6462     1.9660    -1.6172    -1.0074     0.7407     0.2768   -16.9285     2.1059     0.3168
    1.0433    -1.6593     1.9685    -1.6013    -0.9824     0.7031     0.2749   -16.9815     2.1404     0.3389
    1.0578    -1.6631     1.9615    -1.6194    -1.0051     0.7324     0.2759   -15.6372     2.1118     0.3196
    1.0438    -1.6691     1.9507    -1.6100    -1.0139     0.7099     0.2603   -11.3150     2.1532     0.3498
    1.0572    -1.6577     1.9563    -1.6287    -0.9886     0.7258     0.2840   -16.8655     2.1096     0.3181
    1.0514    -1.6658     1.9754    -1.5858    -1.0185     0.7187     0.2586   -12.8077     2.1507     0.3481
    1.0507    -1.6568     1.9680    -1.5986    -0.9974     0.7071     0.2699   -11.6986     2.1442     0.3410
    1.0572    -1.6640     1.9666    -1.6026    -1.0174     0.7292     0.2668   -16.8225     2.1323     0.3347
    1.0694    -1.6523     1.9683    -1.6018    -1.0199     0.7302     0.2634   -16.9584     2.1304     0.3330
    1.0542    -1.6601     1.9681    -1.6010    -1.0051     0.7194     0.2696   -16.9604     2.1367     0.3359
    1.0546    -1.6654     1.9702    -1.5937    -1.0228     0.7250     0.2604   -16.7760     2.1434     0.3418
    1.0437    -1.6719     1.9730    -1.5900    -1.0085     0.7163     0.2631   -18.8158     2.1497     0.3479
    1.0594    -1.6554     1.9636    -1.6131    -0.9948     0.7249     0.2737   -14.5584     2.1243     0.3283
    1.0522    -1.6647     1.9740    -1.5916    -1.0148     0.7191     0.2650   -16.9213     2.1423     0.3397
    1.0679    -1.6514     1.9689    -1.6020    -1.0183     0.7312     0.2652   -16.9456     2.1285     0.3298
    1.0784    -1.6438     1.9637    -1.6269    -1.0021     0.7404     0.2849   -16.9588     2.0930     0.3068
    1.0678    -1.6507     1.9714    -1.5966    -1.0153     0.7273     0.2622   -16.9960     2.1367     0.3362
    1.0662    -1.6580     1.9708    -1.5983    -1.0235     0.7354     0.2622   -16.9234     2.1321     0.3330
    1.0567    -1.6610     1.9706    -1.5975    -1.0194     0.7234     0.2644   -16.9681     2.1344     0.3334
    1.0723    -1.6508     1.9718    -1.6004    -1.0209     0.7338     0.2654   -16.9418     2.1265     0.3276
    1.0633    -1.6578     1.9712    -1.5970    -1.0183     0.7299     0.2658   -11.9344     2.1335     0.3372
    1.0619    -1.6598     1.9596    -1.6131    -1.0096     0.7315     0.2684   -16.8875     2.1288     0.3319
    1.0496    -1.6660     1.9704    -1.5979    -1.0041     0.7199     0.2704   -11.6397     2.1379     0.3395
    1.0525    -1.6622     1.9717    -1.5974    -1.0086     0.7182     0.2694   -14.1221     2.1350     0.3347
    1.0496    -1.6630     1.9710    -1.5941    -1.0033     0.7138     0.2647   -16.8790     2.1464     0.3445
    1.0524    -1.6645     1.9696    -1.6008    -1.0076     0.7217     0.2722   -16.9866     2.1334     0.3333
    1.2422    -1.6603     2.0056    -1.5143   -14.0275     0.9665     0.0546   -12.9737     2.1852     0.3692
    1.0556    -1.6637     1.9644    -1.6137    -1.0022     0.7293     0.2766   -15.5678     2.1185     0.3241
    1.0647    -1.6606     1.9732    -1.5937    -1.0272     0.7338     0.2608   -12.8576     2.1357     0.3375
    1.0709    -1.6514     1.9706    -1.6007    -1.0212     0.7333     0.2677   -11.7665     2.1255     0.3298
    1.0525    -1.6660     1.9781    -1.5784    -1.0258     0.7174     0.2509   -12.5874     2.1612     0.3571
    1.0611    -1.6618     1.9565    -1.6123    -1.0235     0.7321     0.2638   -16.9713     2.1305     0.3345
    1.0504    -1.6676     1.9676    -1.5979    -1.0124     0.7234     0.2605   -20.7189     2.1429     0.3434
    1.0422    -1.6692     1.9560    -1.6140    -0.9954     0.7116     0.2709   -11.4076     2.1387     0.3374
    1.0524    -1.6648     1.9766    -1.5894    -1.0181     0.7192     0.2664   -16.9688     2.1396     0.3364
    1.0672    -1.6537     1.9617    -1.6137    -1.0105     0.7327     0.2718   -16.9262     2.1211     0.3273
    1.0630    -1.6547     1.9721    -1.5960    -1.0133     0.7256     0.2637   -14.4154     2.1371     0.3358
    1.0501    -1.6631     1.9659    -1.5988    -1.0080     0.7135     0.2641   -11.5435     2.1463     0.3434
    1.0534    -1.6619     1.9673    -1.6009    -1.0121     0.7203     0.2679   -15.1360     2.1354     0.3358
    1.0573    -1.6632     1.9817    -1.5758    -1.0319     0.7224     0.2520   -11.8362     2.1558     0.3523
    1.0826    -1.6432     1.9672    -1.6203    -1.0091     0.7456     0.2802   -16.9448     2.0965     0.3119
    1.2578    -1.6187     2.0112    -1.5098    -9.7883     0.9210     0.0605   -14.8886     2.1879     0.3746
    1.0597    -1.6614     1.9744    -1.5876    -1.0275     0.7272     0.2560   -16.9027     2.1463     0.3451
    1.0542    -1.6605     1.9640    -1.6045    -1.0087     0.7179     0.2682   -16.9580     2.1370     0.3355
    1.2203    -1.6324     2.0030    -1.5163   -11.9142     0.8811     0.0567   -13.9293     2.2064     0.3871
    1.0661    -1.6597     1.9768    -1.5899    -1.0277     0.7358     0.2620   -16.9709     2.1345     0.3375
    1.0523    -1.6593     1.9705    -1.5921    -1.0069     0.7105     0.2629   -16.9260     2.1514     0.3469
    1.0451    -1.6599     1.9652    -1.6071    -0.9871     0.7070     0.2775   -16.9760     2.1351     0.3326
    1.0649    -1.6583     1.9627    -1.6107    -1.0142     0.7342     0.2687   -14.3832     2.1250     0.3299
    1.0558    -1.6580     1.9623    -1.6093    -0.9995     0.7201     0.2720   -16.4206     2.1323     0.3355
    1.0506    -1.6667     1.9757    -1.5897    -1.0166     0.7233     0.2655   -12.9626     2.1392     0.3406
    1.0494    -1.6732     1.9720    -1.5891    -1.0262     0.7261     0.2555   -11.4921     2.1492     0.3487
    1.2218    -1.6718     2.0014    -1.5184   -12.8400     0.9405     0.0765   -16.7769     2.1721     0.3487
    1.0555    -1.6538     1.9643    -1.6044    -0.9994     0.7109     0.2705   -16.9623     2.1399     0.3361
    1.0641    -1.6613     1.9812    -1.5747    -1.0394     0.7312     0.2438   -14.7253     2.1583     0.3580
    1.6090    -1.6655     1.9994    -1.5207   -15.1866     1.6613    -0.0807    -1.3575     2.1865     0.4771
    1.0784    -1.6442     1.9636    -1.6249    -1.0012     0.7417     0.2812   -16.9416     2.0981     0.3112
    1.2114    -1.6364     2.0089    -1.5105   -10.7007     0.8712     0.0775   -16.9724     2.1934     0.3687
    1.0580    -1.6610     1.9688    -1.5927    -1.0206     0.7240     0.2545   -15.4792     2.1497     0.3488
    1.0528    -1.6682     1.9707    -1.5970    -1.0184     0.7274     0.2640   -12.8510     2.1358     0.3368
    1.0845    -1.6435     1.9672    -1.6165    -1.0152     0.7465     0.2755   -13.2260     2.1033     0.3141
    1.2064    -1.6723     1.9911    -1.5277   -13.6977     0.9110     0.0794    -9.6170     2.1827     0.3591
    1.0831    -1.6439     1.9647    -1.6257    -1.0043     0.7391     0.2872   -12.2558     2.0966     0.3062
    1.0483    -1.6670     1.9780    -1.5853    -1.0128     0.7175     0.2643   -16.8926     2.1466     0.3447
    1.0505    -1.6686     1.9711    -1.5942    -1.0167     0.7249     0.2634   -19.9703     2.1407     0.3424
    1.0533    -1.6633     1.9704    -1.6006    -1.0093     0.7238     0.2701   -12.7245     2.1306     0.3317
    1.0756    -1.6511     1.9683    -1.6024    -1.0226     0.7366     0.2625   -16.9696     2.1306     0.3328
    1.0556    -1.6609     1.9709    -1.6002    -1.0049     0.7239     0.2701   -16.9774     2.1319     0.3342
    1.0496    -1.6629     1.9736    -1.5885    -1.0111     0.7117     0.2639   -16.9571     2.1498     0.3473
    1.0549    -1.6645     1.9756    -1.5917    -1.0152     0.7259     0.2665   -12.5685     2.1368     0.3380
    1.0554    -1.6598     1.9708    -1.5988    -1.0050     0.7189     0.2694   -16.9385     2.1366     0.3351
    1.0534    -1.6631     1.9683    -1.6032    -1.0060     0.7234     0.2699   -16.8028     2.1313     0.3327
    1.0526    -1.6624     1.9629    -1.6096    -0.9998     0.7191     0.2725   -13.7849     2.1323     0.3321
    1.0666    -1.6521     1.9632    -1.6268    -0.9925     0.7329     0.2868   -16.9473     2.0982     0.3097
    1.0535    -1.6701     1.9752    -1.5844    -1.0354     0.7308     0.2525   -12.3781     2.1485     0.3492
    1.0541    -1.6615     1.9651    -1.6030    -1.0030     0.7193     0.2669   -16.9170     2.1403     0.3403
    1.0771    -1.6540     1.9630    -1.6194    -1.0183     0.7454     0.2748   -12.9273     2.1082     0.3144
    1.0506    -1.6622     1.9669    -1.6000    -1.0029     0.7150     0.2667   -12.2684     2.1423     0.3411
    1.0458    -1.6658     1.9712    -1.5929    -1.0075     0.7093     0.2632   -11.9537     2.1481     0.3435
    1.0456    -1.6687     1.9726    -1.5870    -1.0142     0.7133     0.2600   -16.4521     2.1557     0.3529
    1.0460    -1.6700     1.9511    -1.6163    -1.0097     0.7188     0.2669   -19.1490     2.1391     0.3391
    1.0526    -1.6655     1.9649    -1.6066    -1.0055     0.7246     0.2722   -16.8734     2.1310     0.3337
    1.0450    -1.6634     1.9620    -1.6071    -0.9969     0.7100     0.2696   -16.8345     2.1381     0.3377
    1.0458    -1.6670     1.9771    -1.5858    -1.0101     0.7131     0.2653   -13.1320     2.1480     0.3465
    1.0535    -1.6598     1.9723    -1.5923    -1.0076     0.7141     0.2645   -16.9283     2.1466     0.3435
    1.0565    -1.6626     1.9686    -1.6016    -1.0163     0.7246     0.2685   -16.9435     2.1320     0.3294
    1.1810    -1.6475     2.0034    -1.5159   -11.0313     0.8345     0.0859   -16.9994     2.1966     0.3728
    1.0578    -1.6604     1.9807    -1.5783    -1.0258     0.7206     0.2541   -16.9689     2.1532     0.3504
    1.0658    -1.6594     1.9704    -1.5976    -1.0259     0.7362     0.2617   -13.6927     2.1323     0.3366
    1.0614    -1.6616     1.9771    -1.5892    -1.0288     0.7303     0.2625   -13.0528     2.1351     0.3359
    1.2195    -1.6509     1.9939    -1.5253   -10.2178     0.9084     0.0696   -16.7771     2.1887     0.3739
    1.0557    -1.6678     1.9812    -1.5748    -1.0433     0.7268     0.2463   -15.5867     2.1561     0.3535
    1.0703    -1.6596     1.9752    -1.5914    -1.0318     0.7400     0.2591   -11.7242     2.1350     0.3381
    1.0522    -1.6650     1.9626    -1.6052    -1.0160     0.7216     0.2662   -12.3636     2.1361     0.3349
    1.0499    -1.6643     1.9772    -1.5834    -1.0138     0.7134     0.2588   -13.6997     2.1534     0.3501
    1.0667    -1.6560     1.9714    -1.5914    -1.0306     0.7311     0.2545   -16.1251     2.1445     0.3420
    1.0613    -1.6601     1.9720    -1.5961    -1.0216     0.7294     0.2663   -12.1962     2.1332     0.3353
  -12.1397   -17.1125     2.6746    -0.6728    -4.0479     1.9849    -0.0089   -16.7891     1.9979    -0.0280
    1.0399    -1.6705     1.9634    -1.6064    -0.9969     0.7102     0.2709   -16.9004     2.1387     0.3360
    1.0658    -1.6581     1.9756    -1.5915    -1.0281     0.7327     0.2636   -16.9436     2.1328     0.3358
    1.0599    -1.6571     1.9710    -1.5968    -1.0141     0.7237     0.2651   -16.9680     2.1375     0.3355
    1.0460    -1.6724     1.9721    -1.5901    -1.0240     0.7177     0.2599   -16.9537     2.1473     0.3433
    1.0552    -1.6634     1.9754    -1.5862    -1.0232     0.7223     0.2569   -16.9676     2.1488     0.3459
    1.0482    -1.6626     1.9683    -1.6007    -1.0005     0.7133     0.2697   -13.9776     2.1385     0.3356
    1.0579    -1.6552     1.9685    -1.6043    -0.9970     0.7188     0.2731   -16.7297     2.1313     0.3328
    1.0563    -1.6612     1.9691    -1.6020    -1.0038     0.7240     0.2681   -12.5682     2.1343     0.3349
    1.0508    -1.6577     1.9690    -1.6001    -0.9941     0.7089     0.2730   -12.4142     2.1400     0.3378
    1.0486    -1.6639     1.9689    -1.5986    -1.0013     0.7126     0.2684   -18.1951     2.1425     0.3394
    1.0617    -1.6605     1.9739    -1.5891    -1.0280     0.7312     0.2543   -16.1255     2.1439     0.3438
    1.0493    -1.6696     1.9736    -1.5926    -1.0151     0.7232     0.2662   -16.7993     2.1402     0.3391
    1.0540    -1.6651     1.9696    -1.6018    -1.0122     0.7263     0.2711   -13.0705     2.1290     0.3310
    1.0464    -1.6666     1.9694    -1.5958    -1.0077     0.7134     0.2655   -12.4247     2.1441     0.3422
    1.0590    -1.6643     1.9780    -1.5797    -1.0392     0.7270     0.2482   -11.6231     2.1537     0.3507
    1.0550    -1.6606     1.9677    -1.6015    -1.0077     0.7217     0.2678   -16.9821     2.1347     0.3369
    1.0541    -1.6641     1.9751    -1.5917    -1.0147     0.7240     0.2668   -10.8281     2.1378     0.3387
    1.0775    -1.6459     1.9619    -1.6231    -1.0062     0.7410     0.2794   -11.2178     2.1025     0.3145
    1.0537    -1.6605     1.9704    -1.5993    -1.0005     0.7184     0.2708   -20.2785     2.1371     0.3372
    1.0489    -1.6690     1.9729    -1.5892    -1.0203     0.7187     0.2581   -16.9453     2.1488     0.3460
    1.2763    -1.6169     2.0116    -1.5079   -19.3707     0.9579     0.0315   -16.9476     2.2092     0.3973
    1.0646    -1.6580     1.9713    -1.5984    -1.0140     0.7317     0.2644   -16.7885     2.1338     0.3348
    1.0610    -1.6587     1.9756    -1.5849    -1.0266     0.7241     0.2544   -13.4468     2.1501     0.3482
    1.0542    -1.6629     1.9707    -1.5960    -1.0100     0.7206     0.2653   -26.7333     2.1411     0.3402
    1.0544    -1.6603     1.9766    -1.5860    -1.0163     0.7178     0.2621   -16.9686     2.1460     0.3458
    1.0721    -1.6513     1.9690    -1.6027    -1.0179     0.7347     0.2673   -16.6931     2.1270     0.3321
    1.0779    -1.6431     1.9670    -1.6149    -1.0064     0.7353     0.2787   -21.2718     2.1087     0.3181
    1.2466    -1.6664     2.0180    -1.5014   -19.4299     0.9959     0.0164   -11.3368     2.2125     0.4166
    1.0539    -1.6674     1.9677    -1.6044    -1.0132     0.7288     0.2713   -12.4386     2.1280     0.3310
    1.0667    -1.6561     1.9627    -1.6156    -1.0093     0.7335     0.2725   -16.9524     2.1177     0.3221
    1.0596    -1.6637     1.9693    -1.6003    -1.0195     0.7327     0.2654   -16.6518     2.1308     0.3343
    1.0528    -1.6632     1.9711    -1.5937    -1.0140     0.7183     0.2629   -14.8325     2.1435     0.3425
    1.0528    -1.6656     1.9755    -1.5858    -1.0209     0.7199     0.2586   -16.9186     2.1506     0.3468
    1.0710    -1.6505     1.9685    -1.5995    -1.0205     0.7279     0.2629   -16.9501     2.1354     0.3359
    1.0662    -1.6556     1.9691    -1.6060    -1.0115     0.7319     0.2724   -13.7368     2.1216     0.3269
    1.2480    -1.6252     2.0134    -1.5065   -21.3867     0.9191     0.0373   -16.4444     2.2106     0.4002
    1.0494    -1.6671     1.9791    -1.5808    -1.0230     0.7184     0.2593   -16.9340     2.1502     0.3492
    1.0668    -1.6567     1.9709    -1.6026    -1.0190     0.7321     0.2707   -16.9789     2.1231     0.3266
